agent,run_id,model,provider,effort,integrity_status,questions_scored,overall_score_pct,classify_score_pct,disambiguate_score_pct,analyze_score_pct,scorecard
claude_code_vertex_opus5,20260810T011029Z-018149-repaired-20260811T080536Z-4644ee-pass4,claude-opus-5,google_vertex_ai,xhigh,valid,211,69.9,81.0,38.5,90.1,claude_code_vertex_opus5/20260810T011029Z-018149-repaired-20260811T080536Z-4644ee-pass4/scorecard.json
claude_code_vertex_sonnet5,20260807T124547Z-14ceee-repaired-20260809T140835Z-6264e7-pass3-repaired-20260810T013705Z-ba8ebf,claude-sonnet-5,google_vertex_ai,xhigh,valid,211,67.7,80.1,36.4,86.5,claude_code_vertex_sonnet5/20260807T124547Z-14ceee-repaired-20260809T140835Z-6264e7-pass3-repaired-20260810T013705Z-ba8ebf/scorecard.json
codex_azure_gpt_5_6_sol_xhigh,20260807T101650Z-31230a,gpt-5.6-sol,azure,xhigh,valid,211,67.6,82.0,35.8,84.9,codex_azure_gpt_5_6_sol_xhigh/20260807T101650Z-31230a/scorecard.json
codex_azure_gpt_5_6_luna_xhigh,20260806T210751Z-984663-repaired-20260807T050529Z-ca29b8-pass2,gpt-5.6-luna,azure,xhigh,valid,211,64.9,78.7,33.2,82.8,codex_azure_gpt_5_6_luna_xhigh/20260806T210751Z-984663-repaired-20260807T050529Z-ca29b8-pass2/scorecard.json
codex_azure_gpt_5_6_terra_xhigh,20260807T053040Z-a94847,gpt-5.6-terra,azure,xhigh,valid,211,63.8,77.7,32.0,81.8,codex_azure_gpt_5_6_terra_xhigh/20260807T053040Z-a94847/scorecard.json
codex_vllm_gemma4_31b,20260808T160650Z-e4e6c8,gemma4-31b,local_vllm_gemma4_31b,,valid,211,63.5,74.4,28.2,88.0,codex_vllm_gemma4_31b/20260808T160650Z-e4e6c8/scorecard.json
opencode_vllm_gemma4_31b,20260810T183156Z-55e50d,gemma4-31b,local_vllm_gemma4_31b,,valid,211,63.1,73.9,29.3,85.9,opencode_vllm_gemma4_31b/20260810T183156Z-55e50d/scorecard.json
codex_qwen3.6_35b_a3b_unsloth,20260808T181954Z-82c90d-repaired-20260810T043342Z-835014-pass9-pass2,unsloth/Qwen3.6-35B-A3B-MTP-GGUF,local_unsloth_qwen3_6_35b_a3b,,valid,211,54.5,68.2,16.0,79.2,codex_qwen3.6_35b_a3b_unsloth/20260808T181954Z-82c90d-repaired-20260810T043342Z-835014-pass9-pass2/scorecard.json
claude_code_vertex_haiku45,20260806T191022Z-f67f38-repaired-20260807T072924Z-13fd29-pass3-repaired-20260807T185255Z-25a9b7,claude-haiku-4-5@20251001,google_vertex_ai,,valid,211,53.3,71.6,20.7,67.7,claude_code_vertex_haiku45/20260806T191022Z-f67f38-repaired-20260807T072924Z-13fd29-pass3-repaired-20260807T185255Z-25a9b7/scorecard.json
codex_vertex_gemma4_26b,20260806T203113Z-8c1311-repaired-20260808T070722Z-dca8e2-pass3-repaired-20260808T103321Z-35beda-repaired-20260808T113510Z-2f56d4,google/gemma-4-26b-a4b-it-maas,google_vertex_agent_platform,,valid,211,52.2,70.1,18.3,68.2,codex_vertex_gemma4_26b/20260806T203113Z-8c1311-repaired-20260808T070722Z-dca8e2-pass3-repaired-20260808T103321Z-35beda-repaired-20260808T113510Z-2f56d4/scorecard.json
